dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Kategori Kepadatan
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Rendah
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Rendah
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Rendah
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Rendah
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Rendah
2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Rendah
2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Rendah
2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Rendah
2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Rendah
2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Rendah
2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Sedang
2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Sedang
2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Sedang
2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Rendah
2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Sedang
2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Sedang
2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Sedang
2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Sedang
2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Sedang
2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Sedang
2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Sedang
2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Sedang
2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Sedang
2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Sedang
2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Sedang
2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Rendah
2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Rendah
2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Rendah
2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Rendah
2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Rendah
2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Rendah
2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Rendah
2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Rendah
2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Sedang
2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Sedang
2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Sedang
2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Rendah
2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Sedang
2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Sedang
2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Sedang
2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Sedang
2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Sedang
2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Sedang
2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Tinggi
2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Sedang
2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Sedang
2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Sedang
2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Rendah
2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Rendah
2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Rendah
2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Rendah
2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Rendah
2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Rendah
2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Rendah
2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Rendah
2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Rendah
2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Sedang
2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Sedang
2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Sedang
2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Sedang
2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Rendah
2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Sedang
2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Sedang
2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Sedang
2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Sedang
2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Sedang
2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Sedang
2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Sedang
2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Sedang
2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Sedang
2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Rendah
2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Rendah
2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Rendah
2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Rendah
2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Rendah
2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Rendah
2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Rendah
2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Rendah
2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Rendah
2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Sedang
2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Tinggi
2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Sedang
2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Rendah
2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Sedang
2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Sedang
2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Sedang
2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Sedang
2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Sedang
2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Sedang
2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Sedang
2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Sedang
2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Sedang
2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Sedang
2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Rendah
2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Sedang
2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Rendah
2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Rendah
2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Rendah
2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Rendah
2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Rendah
2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Rendah
2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Rendah
2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Sedang
2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Tinggi
2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Sedang
2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Sedang
2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Sedang
2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Sedang
2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Sedang
2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Sedang
2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Sedang
2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Sedang
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Sedang
2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Sedang
2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Sedang
2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Sedang
2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Rendah
2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Rendah
2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Rendah
2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Rendah
2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Rendah
2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Rendah
2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Rendah
2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Rendah
2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Rendah
2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Rendah
2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Rendah
2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Rendah
2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Rendah
2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Sedang
2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Sedang
2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Sedang
2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Sedang
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.194,12,83,95,Sedang
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Sedang
2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Sedang
2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.194,5,64,69,Sedang
2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Sedang
2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Rendah
2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Rendah
2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Rendah
2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Rendah
2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Rendah
2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Rendah
2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Rendah
2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Rendah
2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Rendah
2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Rendah
2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Rendah
2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Rendah
2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Rendah
2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Rendah
2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.194,0,19,19,Rendah
2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Rendah
2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.194,2,47,49,Rendah
2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Sedang
2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Sedang
2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Sedang
2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Sedang
2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Sedang
2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Sedang
2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Rendah
2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Rendah
2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Rendah
2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Rendah
2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Rendah
2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Rendah
2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Rendah
2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Rendah
2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Rendah
2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Rendah
2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Rendah
2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Rendah
2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Rendah
2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Sedang
2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Sedang
2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Sedang
2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Rendah
2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Rendah
2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Sedang
2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Sedang
2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,Rendah
2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,Rendah
2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Sedang
2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Sedang
2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,Sedang
2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Sedang
2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Sedang
2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,Rendah
2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Rendah
2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Rendah
2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Rendah
2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Rendah
2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,Rendah
2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Rendah
2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Rendah
2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Sedang
2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,Tinggi
2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,Sedang
2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,Sedang
2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,Rendah
2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,Sedang
2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,Sedang
2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,Sedang
2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,Rendah
2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,Sedang
2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,Sedang
2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,Sedang
2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,Sedang
2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,Rendah
2011-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,Rendah
2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,Rendah
2011-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,Rendah
2011-01-12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,Rendah
2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,Rendah
2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,Rendah
2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,Rendah
2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,Rendah
2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,Sedang
2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,Sedang
2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,Sedang
2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,Rendah
2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,Rendah
2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.194,3,52,55,Sedang
2011-01-12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,Rendah
2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,Rendah
